ticker,time,open,high,low,close,volume
SGN,2025-06-03,65.8,66.0,65.1,65.4,63000
SGN,2025-06-04,65.0,65.2,63.8,64.2,65000
SGN,2025-06-05,64.0,64.2,63.8,64.1,20900
SGN,2025-06-06,64.1,65.4,64.1,64.8,18800
SGN,2025-06-09,64.8,65.0,64.0,64.0,17200
SGN,2025-06-10,64.0,64.2,63.9,63.9,14600
SGN,2025-06-11,64.2,64.6,63.8,64.5,18100
SGN,2025-06-12,64.5,64.6,64.2,64.5,19400
SGN,2025-06-13,64.4,64.4,63.9,64.0,19100
SGN,2025-06-16,64.0,64.5,64.0,64.2,14200
SGN,2025-06-17,64.9,65.0,64.1,64.2,11600
SGN,2025-06-18,64.3,64.3,64.0,64.0,16000
SGN,2025-06-19,64.5,64.5,63.9,63.9,16000
SGN,2025-06-20,64.0,64.5,64.0,64.4,18300
SGN,2025-06-23,64.3,64.3,63.9,64.0,11800
SGN,2025-06-24,64.0,64.2,62.5,63.1,74100
SGN,2025-06-25,62.9,63.5,62.8,63.2,20900
SGN,2025-06-26,63.2,63.5,63.0,63.2,20400
SGN,2025-06-27,63.3,63.4,63.0,63.0,17000
SGN,2025-06-30,63.1,63.5,63.1,63.5,15200
SGN,2025-07-01,63.5,65.0,63.5,64.8,23500
SGN,2025-07-02,64.9,65.0,64.4,64.8,28400
SGN,2025-07-03,66.9,66.9,65.2,65.4,22200
SGN,2025-07-04,65.4,65.8,64.7,64.7,44500
SGN,2025-07-07,64.7,65.2,64.7,65.0,23500
SGN,2025-07-08,65.0,65.3,64.7,65.3,25800
SGN,2025-07-09,65.2,66.0,65.2,65.8,63900
SGN,2025-07-10,65.9,66.2,65.7,65.7,16300
SGN,2025-07-11,65.8,66.0,65.7,66.0,26700
SGN,2025-07-14,66.3,66.3,65.1,65.5,32200
SGN,2025-07-15,65.5,65.8,65.0,65.2,36000
SGN,2025-07-16,65.2,65.7,65.1,65.5,10600
SGN,2025-07-17,65.4,65.5,65.1,65.4,21300
SGN,2025-07-18,65.4,65.5,64.9,65.4,32900
SGN,2025-07-21,65.4,65.6,65.1,65.2,29600
SGN,2025-07-22,65.2,65.6,65.0,65.4,17600
SGN,2025-07-23,65.7,65.7,65.3,65.4,34200
SGN,2025-07-24,65.4,67.5,65.4,67.2,68700
SGN,2025-07-25,66.8,70.3,66.8,69.9,70700
SGN,2025-07-28,69.9,69.9,68.5,69.6,48800
SGN,2025-07-29,69.6,69.6,66.8,67.0,62300
SGN,2025-07-30,66.6,67.0,66.3,66.8,59800
SGN,2025-07-31,66.8,67.8,66.3,67.1,42100
SGN,2025-08-01,66.8,67.1,66.7,67.0,35400
SGN,2025-08-04,67.0,67.7,67.0,67.4,39500
SGN,2025-08-05,68.0,68.1,66.8,67.0,52300
SGN,2025-08-06,67.0,67.6,66.7,67.6,45600
SGN,2025-08-07,68.0,68.0,67.1,67.2,16300
SGN,2025-08-08,67.3,67.3,66.9,67.0,26800
SGN,2025-08-11,67.2,70.1,67.2,69.2,77000
SGN,2025-08-12,69.1,69.3,69.0,69.2,21500
SGN,2025-08-13,69.3,69.4,68.4,69.2,50700
SGN,2025-08-14,69.2,69.2,68.4,68.5,30500
SGN,2025-08-15,68.5,68.5,67.5,67.9,23700
SGN,2025-08-18,68.0,68.0,66.6,67.1,40300
SGN,2025-08-19,67.2,67.5,66.8,67.0,40300
SGN,2025-08-20,66.3,66.8,66.0,66.6,46800
SGN,2025-08-21,66.8,67.3,66.8,67.3,9300
SGN,2025-08-22,67.0,67.0,66.0,66.0,76300
SGN,2025-08-25,66.8,66.8,66.0,66.1,14900
SGN,2025-08-26,66.0,66.4,66.0,66.3,12800
SGN,2025-08-27,66.8,66.8,66.1,66.4,12000
SGN,2025-08-28,66.4,66.5,66.1,66.4,20800
SGN,2025-08-29,66.6,66.7,66.0,66.0,24000
SGN,2025-09-03,66.6,66.6,66.1,66.6,10000
SGN,2025-09-04,66.6,66.8,66.4,66.6,11800
SGN,2025-09-05,66.8,66.8,66.5,66.5,8200
SGN,2025-09-08,66.5,66.6,66.0,66.4,14900
SGN,2025-09-09,66.2,66.4,65.5,66.3,19900
SGN,2025-09-10,66.3,66.4,65.5,66.3,30900
SGN,2025-09-11,65.7,66.1,65.5,66.0,13300
SGN,2025-09-12,66.0,66.3,66.0,66.0,12000
SGN,2025-09-15,66.3,66.3,65.9,66.0,20200
SGN,2025-09-16,66.0,66.5,65.9,66.2,17200
SGN,2025-09-17,66.4,66.5,65.8,66.2,9900
SGN,2025-09-18,66.3,66.3,65.9,66.2,7000
SGN,2025-09-19,66.3,66.4,65.9,66.3,25400
SGN,2025-09-22,66.3,66.3,65.8,66.0,24600
SGN,2025-09-23,66.0,66.4,66.0,66.2,9600
SGN,2025-09-24,66.3,66.3,66.1,66.3,18700
SGN,2025-09-25,66.4,66.4,66.0,66.4,9500
SGN,2025-09-26,66.3,66.4,65.9,66.1,12000
SGN,2025-09-29,66.1,66.1,65.4,65.6,38600
SGN,2025-09-30,65.6,65.6,64.7,64.7,62500
SGN,2025-10-01,64.7,64.9,64.6,64.7,9700
SGN,2025-10-02,65.0,65.0,64.4,64.4,18100
SGN,2025-10-03,64.5,64.7,64.2,64.6,6600
SGN,2025-10-06,64.4,64.6,64.2,64.6,7900
SGN,2025-10-07,64.4,64.6,64.4,64.5,2600
SGN,2025-10-08,64.5,64.5,64.1,64.5,20600
SGN,2025-10-09,64.5,64.5,64.3,64.3,6600
SGN,2025-10-10,64.4,65.3,64.2,65.3,15800
SGN,2025-10-13,65.3,66.5,65.3,66.4,23800
SGN,2025-10-14,66.4,66.5,65.4,65.4,28700
SGN,2025-10-15,65.6,65.7,65.3,65.6,11000
SGN,2025-10-16,65.8,66.2,65.4,65.6,7000
SGN,2025-10-17,66.0,66.0,65.5,65.6,8100
SGN,2025-10-20,65.9,65.9,63.8,63.8,22000
SGN,2025-10-21,64.0,64.0,63.0,63.8,11500
