ticker,time,open,high,low,close,volume
NT2,2025-04-15,17.71,17.71,17.28,17.42,417930
NT2,2025-04-16,17.42,17.76,17.42,17.47,357098
NT2,2025-04-17,17.47,17.57,17.08,17.57,697983
NT2,2025-04-18,17.61,18.1,17.61,17.76,351680
NT2,2025-04-21,17.76,18.0,17.42,17.42,486259
NT2,2025-04-22,17.42,17.42,16.21,17.03,1030217
NT2,2025-04-23,16.98,17.18,16.6,16.79,769536
NT2,2025-04-24,16.94,17.08,16.65,16.74,775913
NT2,2025-04-25,16.79,17.03,16.74,16.84,595793
NT2,2025-04-28,16.98,17.23,16.84,17.08,359514
NT2,2025-04-29,17.08,17.18,16.94,17.03,228682
NT2,2025-05-05,17.08,17.71,16.98,17.71,634861
NT2,2025-05-06,17.81,17.81,17.57,17.57,369320
NT2,2025-05-07,17.42,18.19,17.42,18.19,1035443
NT2,2025-05-08,18.24,18.29,17.95,18.1,342279
NT2,2025-05-09,18.1,18.29,17.95,18.1,451732
NT2,2025-05-12,18.44,18.48,18.0,18.05,1017915
NT2,2025-05-13,18.15,18.15,17.95,18.0,528433
NT2,2025-05-14,18.0,18.05,17.9,18.0,446981
NT2,2025-05-15,18.1,18.19,17.81,17.81,603145
NT2,2025-05-16,17.81,18.39,17.71,18.19,1016169
NT2,2025-05-19,18.19,18.24,17.95,18.0,445311
NT2,2025-05-20,17.9,18.15,17.9,18.1,527752
NT2,2025-05-21,18.15,18.15,17.81,17.9,537884
NT2,2025-05-22,17.9,18.19,17.81,17.81,533097
NT2,2025-05-23,17.86,17.95,17.52,17.57,692911
NT2,2025-05-26,17.57,17.76,17.32,17.76,584787
NT2,2025-05-27,17.81,17.9,17.71,17.76,581017
NT2,2025-05-28,17.81,18.19,17.81,17.86,1188147
NT2,2025-05-29,18.0,18.05,17.86,17.9,570675
NT2,2025-05-30,18.0,18.29,17.9,18.05,799600
NT2,2025-06-02,18.1,18.58,17.9,18.48,1256763
NT2,2025-06-03,18.53,18.58,18.29,18.34,764105
NT2,2025-06-04,18.34,18.68,18.19,18.19,938033
NT2,2025-06-05,18.24,18.24,17.9,17.95,1012895
NT2,2025-06-06,18.1,18.19,17.81,17.81,741733
NT2,2025-06-09,17.81,17.9,17.57,17.57,715213
NT2,2025-06-10,17.57,17.71,17.52,17.52,484093
NT2,2025-06-11,17.57,17.57,17.32,17.42,656632
NT2,2025-06-12,17.47,17.66,17.42,17.52,526190
NT2,2025-06-13,17.37,17.47,17.03,17.32,1026262
NT2,2025-06-16,17.32,17.57,17.32,17.47,838542
NT2,2025-06-17,17.61,17.81,17.47,17.57,748548
NT2,2025-06-18,17.57,17.71,17.37,17.71,650222
NT2,2025-06-19,17.81,17.86,17.71,17.71,718888
NT2,2025-06-20,17.86,17.86,17.66,17.71,484723
NT2,2025-06-23,17.61,18.29,17.57,18.24,1376552
NT2,2025-06-24,18.48,19.07,18.48,18.82,2737243
NT2,2025-06-25,18.97,18.97,18.68,18.78,1194390
NT2,2025-06-26,18.78,18.82,18.48,18.58,804353
NT2,2025-06-27,18.63,18.68,18.48,18.68,799994
NT2,2025-06-30,18.78,18.78,18.53,18.63,1043500
NT2,2025-07-01,18.53,18.68,18.29,18.48,869838
NT2,2025-07-02,18.58,18.58,18.34,18.39,809809
NT2,2025-07-03,18.39,18.68,18.29,18.39,825321
NT2,2025-07-04,18.39,18.87,18.39,18.87,900857
NT2,2025-07-07,19.02,19.02,18.73,18.82,921301
NT2,2025-07-08,18.87,19.11,18.78,19.07,1845059
NT2,2025-07-09,19.11,19.26,19.02,19.11,1202652
NT2,2025-07-10,19.21,19.26,19.02,19.07,761059
NT2,2025-07-11,18.97,19.11,18.78,18.78,861610
NT2,2025-07-14,18.87,19.21,18.87,18.97,883153
NT2,2025-07-15,18.97,19.11,18.68,18.68,984978
NT2,2025-07-16,18.78,19.45,18.73,19.31,2136086
NT2,2025-07-17,19.36,19.55,19.11,19.16,1500431
NT2,2025-07-18,19.16,19.6,19.11,19.45,1551769
NT2,2025-07-21,20.32,20.37,19.84,19.94,3317165
NT2,2025-07-22,20.03,20.18,19.65,19.79,1655545
NT2,2025-07-23,19.84,20.23,19.79,19.94,2599207
NT2,2025-07-24,20.13,20.13,19.69,19.94,2099047
NT2,2025-07-25,19.99,20.23,19.84,19.84,2182150
NT2,2025-07-28,20.18,20.18,19.84,20.03,1942947
NT2,2025-07-29,20.13,20.23,19.31,19.36,3101349
NT2,2025-07-30,19.31,19.55,19.02,19.36,1372305
NT2,2025-07-31,19.45,19.69,19.11,19.55,1354332
NT2,2025-08-01,19.6,19.84,19.45,19.84,1538167
NT2,2025-08-04,20.37,21.19,20.37,21.19,4597778
NT2,2025-08-05,22.07,22.07,20.52,20.9,4194367
NT2,2025-08-06,20.9,21.1,20.66,20.76,2028188
NT2,2025-08-07,21.19,21.44,20.86,21.19,2502518
NT2,2025-08-08,21.24,21.34,20.71,20.95,2083200
NT2,2025-08-11,21.1,21.39,20.9,21.34,2117066
NT2,2025-08-12,21.49,22.11,21.29,21.73,3277020
NT2,2025-08-13,21.78,21.82,21.15,21.44,2679089
NT2,2025-08-14,21.58,21.58,21.0,21.1,1686684
NT2,2025-08-15,21.24,21.63,20.86,21.0,1799574
NT2,2025-08-18,21.0,21.68,21.0,21.49,2025238
NT2,2025-08-19,21.49,22.02,21.49,21.68,2233964
NT2,2025-08-20,21.68,21.68,20.42,20.9,2740977
NT2,2025-08-21,21.0,21.05,20.52,20.71,1008002
NT2,2025-08-22,20.52,21.0,20.13,20.66,1736593
NT2,2025-08-25,20.76,21.19,20.66,20.76,1689569
NT2,2025-08-26,21.1,21.1,20.52,21.0,894200
NT2,2025-08-27,21.1,22.26,20.95,21.58,3009519
NT2,2025-08-28,21.78,21.82,21.29,21.49,730087
NT2,2025-08-29,21.49,21.92,21.24,21.58,1617574
NT2,2025-09-03,21.68,22.02,21.39,21.97,1739193
NT2,2025-09-04,22.26,22.74,21.87,21.92,1714725
NT2,2025-09-05,21.97,22.07,21.44,21.44,2334250
NT2,2025-09-08,21.44,21.49,20.61,20.61,1415942
NT2,2025-09-09,20.71,20.86,20.42,20.71,1431204
NT2,2025-09-10,20.76,21.15,20.71,21.0,726127
NT2,2025-09-11,20.71,21.0,20.37,20.9,915974
NT2,2025-09-12,21.0,21.34,20.95,21.19,737745
NT2,2025-09-15,21.29,21.39,21.15,21.39,738221
NT2,2025-09-16,21.49,22.36,21.39,21.92,2727133
NT2,2025-09-17,22.07,22.07,21.44,21.49,856924
NT2,2025-09-18,21.49,22.26,21.34,22.02,2584350
NT2,2025-09-19,22.07,23.23,22.07,22.94,4078170
NT2,2025-09-22,23.03,23.03,21.78,22.02,2150901
NT2,2025-09-23,22.21,22.21,21.73,22.07,1171565
NT2,2025-09-24,22.11,22.55,21.73,22.55,1172737
NT2,2025-09-25,23.42,23.9,22.94,23.61,3712138
NT2,2025-09-26,23.57,23.61,22.89,22.89,2091281
NT2,2025-09-29,22.84,23.71,22.84,23.03,1910136
NT2,2025-09-30,23.03,23.03,22.07,22.65,2189523
NT2,2025-10-01,22.6,22.6,22.11,22.55,814867
NT2,2025-10-02,22.26,23.08,22.26,22.84,1078541
NT2,2025-10-03,22.74,24.0,21.73,22.45,2131990
NT2,2025-10-06,22.26,22.69,22.16,22.69,830918
NT2,2025-10-07,22.94,22.94,22.4,22.5,800600
NT2,2025-10-08,22.99,22.99,22.16,22.31,1398941
NT2,2025-10-09,22.26,22.89,22.21,22.55,1381773
NT2,2025-10-10,22.45,22.84,22.45,22.79,817929
NT2,2025-10-13,22.45,22.69,22.21,22.36,1224268
NT2,2025-10-14,22.21,22.45,21.68,21.68,1918751
NT2,2025-10-15,21.53,22.21,21.53,21.92,767223
NT2,2025-10-16,22.16,22.16,21.68,22.02,480049
NT2,2025-10-17,22.07,22.16,21.63,21.73,1523713
NT2,2025-10-20,21.73,22.11,21.0,21.05,1420394
NT2,2025-10-21,21.25,21.7,21.1,21.35,1168500
